date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:25	52890/52890	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-ce9a%22	https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/indexbd97.html	(from )
17:58:25	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264513ec8-239b%22	https://themewagon.github.io/robots.txt		(from )
17:58:25	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264513ec8-247b%22	https://themewagon.github.io/builerz/img/favicon.ico	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/favicon.ico	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:27	159515/159515	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/adefalu%20builder/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:28	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/adefalu%20builder/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:28	1296/1296	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-510%22	https://themewagon.github.io/builerz/lib/flaticon/font/flaticon.css	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/flaticon/font/flaticon.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:28	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-4239%22	https://themewagon.github.io/builerz/lib/animate/animate.min.css	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/animate/animate.min.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:29	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-b78%22	https://themewagon.github.io/builerz/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:29	2608/2608	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-a30%22	https://themewagon.github.io/builerz/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:29	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-6f0%22	https://themewagon.github.io/builerz/lib/slick/slick.css	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/slick/slick.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:29	3133/3133	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-c3d%22	https://themewagon.github.io/builerz/lib/slick/slick-theme.css	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/slick/slick-theme.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:30	39249/39249	---M-Z	200	added ('OK')	text/css	etag:W/%22639ff706-9951%22	https://themewagon.github.io/builerz/css/style.css	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/css/style.css	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:30	52890/52890	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-ce9a%22	https://themewagon.github.io/builerz/index.html	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/index.html	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:30	25810/25810	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-64d2%22	https://themewagon.github.io/builerz/about.html	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/about.html	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:30	28379/28379	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-6edb%22	https://themewagon.github.io/builerz/service.html	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/service.html	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:31	20884/20884	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-5194%22	https://themewagon.github.io/builerz/team.html	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/team.html	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:31	19435/19435	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-4beb%22	https://themewagon.github.io/builerz/portfolio.html	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/portfolio.html	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:31	19936/19936	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-4de0%22	https://themewagon.github.io/builerz/blog.html	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/blog.html	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:32	50801/50801	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-c671%22	https://themewagon.github.io/builerz/single.html	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/single.html	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:32	15752/15752	---M-Z	200	added ('OK')	text/html	etag:W/%22639ff706-3d88%22	https://themewagon.github.io/builerz/contact.html	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/contact.html	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:33	205641/205641	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-32349%22	https://themewagon.github.io/builerz/img/carousel-1.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/carousel-1.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:35	127067/127067	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-1f05b%22	https://themewagon.github.io/builerz/img/carousel-3.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/carousel-3.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:35	100515/100515	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-188a3%22	https://themewagon.github.io/builerz/img/carousel-2.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/carousel-2.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:36	165625/165625	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-286f9%22	https://themewagon.github.io/builerz/img/about.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/about.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:36	66848/66848	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-10520%22	https://themewagon.github.io/builerz/img/service-1.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/service-1.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:36	42963/42963	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-a7d3%22	https://themewagon.github.io/builerz/img/service-2.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/service-2.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:37	45701/45701	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-b285%22	https://themewagon.github.io/builerz/img/service-3.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/service-3.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:37	50534/50534	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-c566%22	https://themewagon.github.io/builerz/img/service-4.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/service-4.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:37	48359/48359	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-bce7%22	https://themewagon.github.io/builerz/img/service-5.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/service-5.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:38	24722/24722	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-6092%22	https://themewagon.github.io/builerz/img/team-1.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/team-1.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:38	53338/53338	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-d05a%22	https://themewagon.github.io/builerz/img/service-6.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/service-6.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:38	23749/23749	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-5cc5%22	https://themewagon.github.io/builerz/img/team-2.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/team-2.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:38	26431/26431	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-673f%22	https://themewagon.github.io/builerz/img/team-3.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/team-3.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:39	18810/18810	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-497a%22	https://themewagon.github.io/builerz/img/team-4.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/team-4.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:39	7270/7270	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-1c66%22	https://themewagon.github.io/builerz/img/testimonial-1.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/testimonial-1.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:39	9152/9152	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-23c0%22	https://themewagon.github.io/builerz/img/testimonial-2.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/testimonial-2.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:39	7614/7614	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-1dbe%22	https://themewagon.github.io/builerz/img/testimonial-3.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/testimonial-3.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:40	8919/8919	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-22d7%22	https://themewagon.github.io/builerz/img/testimonial-4.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/testimonial-4.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:40	34103/34103	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-8537%22	https://themewagon.github.io/builerz/img/blog-1.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/blog-1.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:40	29227/29227	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-722b%22	https://themewagon.github.io/builerz/img/blog-2.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/blog-2.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:41	36678/36678	---M--	200	added ('OK')	image/jpeg	etag:%22639ff706-8f46%22	https://themewagon.github.io/builerz/img/blog-3.jpg	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/img/blog-3.jpg	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:42	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/adefalu%20builder/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:43	80698/80698	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/adefalu%20builder/stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:43	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ff706-8fe%22	https://themewagon.github.io/builerz/lib/easing/easing.min.js	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/easing/easing.min.js	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:44	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ff706-1fdc%22	https://themewagon.github.io/builerz/lib/wow/wow.min.js	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/wow/wow.min.js	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:44	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ff706-a70e%22	https://themewagon.github.io/builerz/lib/owlcarousel/owl.carousel.min.js	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
17:58:44	35503/35503	---M-Z	200	added ('OK')	application/javascript	etag:W/%22639ff706-8aaf%22	https://themewagon.github.io/builerz/lib/isotope/isotope.pkgd.min.js	C:/My%20Web%20Sites/adefalu%20builder/themewagon.github.io/builerz/lib/isotope/isotope.pkgd.min.js	(from https://themewagon.github.io/builerz/?_ga=2.221760536.1082606300.1683305628-1026318584.1683305628)
